IncidentNumber	Rank	OfficerRace	OfficerGender	YearsOfSPDService	TypeOfWeapon	SubjectGender	SubjectRace	SubjectAge	Fatal	On-duty	Disposition	OfficerDisciplined?	Summary
20170000219301	POLICE OFFICER	White	Male	9	Knife	Female	Black or African American	30	Yes	Yes	Within Policy	No	On the 18th of June 2017, at approximately 9:00 A.M., a Seattle Police Officer responded to an apartment in the 6800 block of 62nd Ave Northeast, at the request of a resident to take a burglary report. Upon arriving, the officer was made aware of an “Officer Safety Caution” through a routine check of the Federal Bureau of Investigation (FBI), National Crime Information Computer (NCIC) system. The caution referenced a report of an incident occurring on the 5th of June 2017, in which the resident “brandished a large pair of scissors at officers.” The officer requested a second officer accompany him. A second officer arrived at approximately 9:40 A.M. and both officers briefed the June 5th incident which resulted in the officer safety caution and tactics to mitigate risk. At approximately 9:45, both officers contacted the apartment and were admitted by a female subject. For several minutes, the subject conversed calmly with the officers, answering their questions and identifying several items (including two gaming consoles) that were missing and reportedly stolen as result of the break-in. One officer and the subject were in the hall entry just inside the door, with the subject facing the door and the officer facing the living room. The second officer was in the kitchen, to the left of the subject. The first officer was taking notes, within arm’s reach of the subject, when she drew a knife and slashed at the officer in front of her. The officer retreated, drew his firearm, ordered the subject to “get back!” and called for backup. The second officer was alerted by the commotion and drew his firearm, as the subject turned toward him and motioned as if attempting to throw the knife at him. The second officer ducked down to avoid being hit by the knife and when he returned to a standing position, observed two knives in the subject’s hands. Both officers issued repeated commands for the subject to “get back!” The subject repeatedly yelled “do it!”, while threatening the officers. Both officers fired on the subject, who was struck multiple times and fell at the entrance to the living room. Two small children were present on the floor of the living room and an additional child emerged from an adjacent bedroom, after hearing gunfire. None of the children were injured. Officers attempted to render aid after securing the scene. Seattle Fire Department paramedics arrived and attempted therapy. The subject died at the scene.
20170000363232	POLICE OFFICER	White	Male	19	Shotgun	Male	White	66	No	Yes	Within Policy	No	On the 29th of September 2017, at approximately 9:30 P.M., Seattle Police Officers were dispatched to the 11200 block of Fremont Avenue North in response to multiple calls to 911 reporting a neighborhood dispute, involving the discharge of a firearm. Upon arriving, officers attempted to contact the subject who discharged the firearm, in the driveway of his residence. The subject retreated into his home and refused to surrender to police. Seattle Police Special Weapons and Tactics (SWAT), Hostage Negotiation Team (HNT), K9 and mutual aid resources from the King County Sheriff’s Officer responded to the now barricaded subject. Over the next six hours, the subject made various threats to fire on officers. At approximately 3:30 AM, after several hours of negotiations, SWAT began tactical operations to encourage the subject to surrender, including the use of Oleoresin Capsicum (OC) gas or pepper gas. At approximately 4:20 A.M., SWAT, one Sergeant and two officers, approached the residence in an armored vehicle known as a Bearcat, to deploy the gas. As they approached, the subject opened fire with a 12-gauge shotgun, striking the bearcat windshield on the driver’s side and the passenger rear view side mirror. A SWAT officer returned fire with a rifle, striking the subject in the hip. The subject retreated into the residence. OC gas was deployed into the residence, with no effect. Bellevue Police Department (BPD) SWAT and the Arson Bomb Squad (ABS) were requested as additional resources. After it was apparent the OC gas was not effective, SWAT deployed chlorobenzylidene malononitrile or CS gas, also known as “tear gas”, still with no effect. At approximately 5:20 A.M., a remote-controlled police robot was maneuvered to the front door and was used to communicate with the subject. After several minutes, the subject surrendered, and an arrest team was able to take him into custody. Aid was provided on scene and the subject was transported to Harborview Medical Center, where he was treated for his injuries. The subject was booked into the King County Jail and held on charges of 1st Degree Assault, for firing on the officers in the Bearcat.
20170000374877	POLICE OFFICER	White	Female	10	Multiple Types	Female	White	116	No	Yes	Out of Policy	Yes	On the 8th of October 2017, at approximately 7:30 P.M., a caller contacted the Seattle Police Communication Center via 911, to report a suspicious vehicle in the alley of the 2200 block of Yale Avenue East. The reporting party said the occupants of the vehicle, which was in an authorized-vehicle-only space, were in possession of weapons (a firearm and a sharp screwdriver). The caller, who had been observing the vehicle for more than twenty-minutes, reported an occupant was “loading and unloading” a firearm and another occupant was in possession of a sharp screwdriver, and said a male had run from the vehicle approximately 20 minutes earlier. The caller also reported he observed the occupants “wiping down” the door handles of the vehicle. At 7:33 P.M. four Seattle Police Officers responded to the incident, which was dispatched as a “weapons” call. While enroute to the call, one of the officers used the license plate reported by the reporting party to identify the vehicle as one involved in an incident on the 7th of October, in which the subjects fled from police. At 7:42 P.M., officers located the vehicle and approached. As the officers approached, the subjects became aware of their presence. Officers identified themselves as Seattle Police and ordered them to “get on the ground.” The subjects attempted to flee by driving forward, toward one of the officers. Two officers opened fire on the vehicle as it continued forward and then made a 90 degree turn northbound. The officers continued to fire as the vehicle drove away from them. The subjects eluded officers and abandoned the vehicle as they fled northbound. Two of the subjects were apprehended in Snohomish County on the 13th of October 2017. Both subjects were evaluated medically and reported superficial wounds to the back, received during the event.     This incident was referred to the Office of Police Accountability (OPA) for investigation, resulting in multiple sustained findings against the two officers who fired their weapons. The department terminated the officers’ employment as a result.
20170000456717	POLICE OFFICER	White	Male	2	Handgun	Male	White	24	Yes	Yes	Within Policy	No	On the 11th of December 2017, at 11:20 P.M., officers investigating an armed robbery responded to the 9900 block of Holman Road Northwest to meet up with two other officers investigating an assault with a firearm. They both incidents to be connected. Officers identified the female involved in the assault as one of the subjects involved in the armed robbery and took her into custody. At 11:34 P.M., officers noticed a vehicle parked nearby, with a male subject who appeared to be watching them. The officers requested backup and at 11:38 P.M., attempted to contact the vehicle. The vehicle fled and officers received permission to pursue. At approximately 11:46 P.M., as officers continued the pursuit eastbound in the area of 1st Avenue Northeast and North 80th Street, the occupant of the vehicle fired on officers through the driver’s side window. Four minutes later, the pursuit ended in Magnuson Park when the driver crashed through a heavy gate and then into a berm before fleeing on foot, into a wooded area. Six officers, including two rifle officers, formed a contact team and cleared the vehicle. Accompanied by a seventh officer operating a vehicle with a spotlight, officers continued along the road in the direction of a noise they believed to be the driver of the vehicle. Three additional officers joined the team and located the subject laying in the grass. Officers ordered the subject to show his hands. The subject stood up and responded to the officers’ commands by saying “for what bitch? For what? and lifted his shirt, while reaching toward his right hip. Seven officers fired on the subject, who fell where he was standing but continued to move. Officers approached the subject and secured him before rending medical aid, including chest seals, tourniquets and CPR. Seattle Fire Department paramedics responded and continued therapy. The subject was transported to Harborview Medical Center where he was pronounced dead. A firearm was located five to ten feet from where the subject was standing.
20180000061954	POLICE OFFICER	White	Male	8	Handgun	Male	White	41	Yes	Yes	Within Policy	No	On the 19th of February 2018, at approximately 4:20 A.M., the Seattle Police Department Communication Center received a 911 call reporting an auto prowl, in progress. Three officers responded to the 6000 block of 34th Avenue Northeast and located the suspect, still inside the 911 caller’s vehicle. As officers approached in a fully-marked police vehicle, the subject fled on foot. An officer pursued, while issuing commands to stop. The subject fired one round at the officer, who returned fire before taking cover. The subject continued to flee for several blocks westbound, eventually breaking into a home in the 6000 block of 27th Avenue Northeast and stealing the occupant’s vehicle, at gunpoint. The subject continued to flee, now in a vehicle. At 5:14 A.M., officers encountered the subject driving southbound, in the 5500 block of 26th Avenue Northeast and rammed the passenger side to disable the vehicle. Officers attempted to access the subject inside the vehicle but the doors were locked and the windows were up. The subject ignored repeated commands to surrender and continued to search the inside of the vehicle, apparently attempting to access a firearm. One officer fired five rounds, striking the subject. Officers extracted the subject from the vehicle and attempted to render aid. Seattle Fire Department arrived at 5:23 A.M. and took over care. The subject died at the scene.
20180000486972	POLICE OFFICER	White	Male	3	Handgun	Male	Nat Hawaiian/Oth Pac Islander	36	Yes	Yes	Within Policy	No	On the 31st of December 2018, at approximately 5:00 P.M., two Seattle Police Officers in a two-person unit (a single car occupied by two officers, dispatched as a single resource) initiated a traffic stop in the 9500 block of Aurora Avenue North. The vehicle was marked with emergency lights activated to signal the stop. The stop was conducted based on an observed illegal lane change. Additionally, a check of the Washington State Department of Licensing (DOL) system, indicated the registered owner of the vehicle had a “suspended / revoked” license. The driver of the vehicle complied with the traffic stop, pulling into a parking lot. As the vehicle came to a stop, the male driver attempted to exit the vehicle. Officers instructed the subject to remain in the vehicle and he complied. On initial contact with the occupants of the vehicle (a male driver and female passenger), officers determined the driver was not the registered owner the of vehicle and was not carrying identification but provided a name and date of birth. The officers returned to their vehicle to conduct a records check and determined the information provided by the driver was false. The officers requested additional units and two additional two-officer units arrived, as backup. Shortly after backup arrived, the driver fled the vehicle on foot, clutching the front of his sweatshirt with his right hand in a manner which lead officers to believe he was in possession of a weapon. All six officers pursued the subject across several lanes of traffic and into the 900 block of North 96th Street, where an officer used a takedown to bringing the subject to the ground. During the takedown a firearm fell from the subject, onto the ground. Officers continued to struggle to bring the subject into the prone position and control his hands. Officers issued commands for the subject to “stop reaching for the gun” and a closed fisted strike to the back. One officer attempted a brace contact shot from their firearm, against the subject’s forearm but the firearm was out of battery (a condition in which the firearm will not discharge). Another officer placed his firearm against the subject’s head and attempted, several times, a brace contact shot. The firearm was again, out of battery and did not discharge. The officer cleared the out of battery condition, placed the firearm against the subject’s head and fired one round, behind the left ear. Officers took the subject into custody and rendered aid. The Seattle Fire Department arrived at 5:09 P.M. and took over care. The subject was pronounced dead at 5:11 P.M.
20190000048393	POLICE OFFICER	White	Male	17	Knife	Male	Not Specified	117	Yes	Yes	Within Policy	No	On the 7th of February 2019, at 3:22 A.M., the Seattle Police Communication Center received a 911 call from a resident in the 10500 block of Midvale Avenue North. The caller reported hearing a female screaming for help in Spanish, asking for someone to “call the police.” At 3:28 A.M., the first of three Seattle Police Officers arrived at the location, an apartment building and began investigating. A witness directed them to a unit in the apartment complex, where the officers attempted contact but received no reply. The officers began to clear the area and were in the parking lot when the Communication Center received a 911 call from inside the unit the officers just attempted to contact. The female caller said repeatedly, “He killed her.” At 3:41 A.M., officers, dressed in full uniform and announcing themselves as Seattle Police made forced entry with their weapons drawn and began clearing the apartment. Through their search of the unit, officers identified a door which was significantly damaged and appeared as though someone had kicked, punched, or cut through it. Officers announced themselves and forced entry into the room. The door opened only partially, as it was blocked by a body of an adult female, decapitated, laying on the floor, in a significant quantity of blood. Officers observed a male subject in the room, just past the body, holding a large kitchen knife and a meat cleaver. Officers ordered the subject to drop the weapons and get down on the floor. The subject complied initially, responding in a mix of English and Spanish, “show my your placa [badge]”. The subject became agitated, stood up and began searching the room. Officer ordered the subject to stop in Spanish (“Alto!”) and identified themselves as “Policia!” The subject eventually located the weapons and began to advance on the officers. When the subject was approximately five or six feet from the officers, two of the officers fired on the subject five times. The subject was hit multiple times and fell. The subject attempted to stand up again, with the knife in his hand. One officer fired a single additional round, causing the subject to fall once more, throwing the knife.  Officers secured the subject and began to render aid. Seattle Fire Department paramedics responded and took over care. The subject died at the scene. The second female subject who called 911 was located, barricaded in an adjacent room.
20190000098802	POLICE OFFICER	White	Male	3	Handgun	Male	Asian	37	No	Yes	Within Policy	No	On the 19th of March 2019, at 9:21 P.M., Settle Police Officers were dispatched to a call from the 1600 block of Melrose Ave. The caller reported her husband was suicidal, was in a possession of a handgun, was leaving their apartment and may intend “suicide by cop.” Twelve officers responded to the area and began to form two contact teams, one to the west and one to the south of the reported location. A rifle equipped officer and a ballistic shield were requested and responded to the area. An officer with a less lethal, 40 mm multiple rubber baton projectile was also on scene. As the teams was forming up and preparing to enter the area, the officer with the shield dropped it, causing a loud noise some mistook for a gunshot. The officer advised those within earshot that he dropped the shield but did not broadcast that information over the radio. At 9:28 P.M., officers in the contact team to the west located the subject on the sidewalk, in front of the building where the call came from. Officers reported hearing the subject “rack” or cycle a weapon. Officers from the west contact team, dressed in full uniform, approached the subject and ordered the subject to surrender and put his hands in the air. Officers in the south contact team, repositioned across the street to prevent a crossfire situation, if the subject attempted to flee in their direction (to the south). The officer with the 40mm less lethal weapon, in the west contact team, observed the subject “extend out his arm, with a black object in his hand,” toward his team and fired on the subject, without providing an audible warning. Four officers, including the rifle officer, discharged between one and multiple rounds, striking the subject once. The subject fell to the ground and was taken into custody. Officers rendered aid. Seattle Fire Department paramedics arrived and continued care. The subject was transported to Harborview Medical Center, where he recovered from his injuries. The subject was charged with 1st Degree Assault.
20190000160099	POLICE OFFICER	White	Male	6	Handgun	Male	Black or African American	118	No	Yes	Within Policy	No	On the 5th of May 2019, at approximately 2:05 A.M., officers were in the Pioneer Square area monitoring bar closings when they heard gunfire they believed to be coming from a parking garage in the 500 block of 2nd Avenue. As officers converged on the parking garage, one Seattle Police Officer observed a subject on an upper deck of the garage discharge a handgun in the direction of officers and pedestrians below. The officer fired two rounds at the subject, who ducked down, out of sight. When the subject returned to a standing position, the firearm was no-longer visible. Other officers established cover and continued the response. A short time later, officers stopped a vehicle attempting to exit the garage and detained three subjects. The driver admitted he was in possession of a handgun. A passenger of the vehicle had a gunshot wound to the lower leg. Officers investigating an assault, nearby, recovered private video showing a physical altercation between the occupants of the vehicle and other subjects. During this altercation, the driver was observed discharging a firearm, in the direction of the wounded subject. Bodyworn Video and statements made by the officer who fired on the subject, suggest the officer did not fire on the subject who was wounded. Additionally, the subject the officer fired upon was only visible from the waist up. The subjects’ legs were not visible or in the line of fire of the officer. The subject was charged with felony assault. Statements made by the subject to Homicide Detectives conducting follow-up, indicated the subject was unaware he had been fired on by police and was only made aware, after the fact. Through the force investigation it appears the man fired at an unidentified subject and was himself shot and wounded by another party. SPD officers saw the man fire his gun and fired at him, but forensic analysis, including the trajectory of officers’ rounds found in a nearby building and a walkway obscuring the man’s lower extremities from officers’ line of fire—indicates his wounds were not caused by officers’ gunfire.
20190000165328	POLICE OFFICER	Two or More Races	Male	5	Knife	Male	Not Specified	118	Yes	Yes	Within Policy	No	On the 8th of May 2019, at approximately 7:15 P.M., the Seattle Police Communication Center received a 911 call from a woman the 600 block of 3rd Avenue West. The first call was disconnected after the caller was heard screaming unintelligibly. A second call was received shortly thereafter. The caller reported she had called earlier but was tackled by her boyfriend, who was attempting to kill her and then himself. The caller was barricaded in a room inside the residence and reported the boyfriend was still in the residence, armed with a knife. Three Seattle Police Officers responded and attempted contact through the door. The officers identified themselves and ordered the door to be opened. When no response was received, the officers forced entry. Upon entry, the subject was observed, just inside the residence, shirtless, with a knife. Officers, dressed in full uniform, ordered the subject to drop the knife and surrender. The subject refused to comply and advanced on the officers. Two officers fired ten rounds, striking the subject. Officers cleared the residence and took the subject into custody. At 7:33 P.M., paramedics from the Seattle Fire Department arrived on scene and began rendering aid. The subject died at the scene.
20190000243418	POLICE OFFICER	White	Male	6	Handgun	Female	Asian	32	No	Yes	Within Policy	No	On the 3rd of July 2019, the Seattle Police Communication Center received two 911 calls reporting from the 1000 block of South Jackson Street. One caller reported hearing gunfire. The other caller reported observing a female discharging a weapon in a nearby parking lot. While officers were enroute, updated information was received indicating the subject was running east on South Jackson Street and was still discharging the firearm. At approximately 8:12 P.M., officers located a subject matching the description in the area of 10th Avenue South and South Jackson Street. The subject was crouched on the sidewalk near the intersection. Officers, dressed in full uniform, approached the subject and repeatedly ordered her to “Stop” and show them her hands. The subject, now in the crosswalk, walking toward the officers with a bag and a blanket in her hands, refused to comply with commands to “sit down.” The subject was seen accessing her waistband, before abruptly dropping the bag and the blanket and pivoting away from the officers. Officers observed a handgun in the subject’s hand. The subject turned toward and raised the firearm to point it at the officers. The officers opened fire, striking the subject once, in the shoulder. The subject fell to the ground and was taken into custody. Officers rendered aid until paramedics from the Seattle Fire Department arrived and took over care. The subject was transported Harborview Medical Center where she was treated for her injuries. The subject was then transferred to the King County Jail and was charged with 2nd Degree Assault, Theft of a Firearm and Unlawful Possession of a Firearm.
